PQID,Title,Author,Publication,Date,Year
1284815740,"When good girls go for bad guys: † Rihanna is back with him, and many of us are wondering why","Puente, Maria",USA TODAY,"Feb 7, 2013",2013
1283939802,A Tattoo To Help A Soldier Remember: † [Review],"Kakutani, Michiko",New York Times,"Feb 5, 2013",2013
1283939791,Expressing the Inexpressible: † [Science Desk],"Parker-Pope, Tara",New York Times,"Feb 5, 2013",2013
1283977387,Music: Five Decades of Arhoolie,"Mazor, Barry",Wall Street Journal,"Feb 5, 2013",2013
1283977476,"The Last Place Lance Can Race --- Ever-Competitive Armstrong Turns to Strava, a Social Network for Endurance Racers","Helliker, Kevin",Wall Street Journal,"Feb 5, 2013",2013
1283613343,Film Financier at a Crossroads: † [Business/Financial Desk],"Barnes, Brooks; Cieply, Michael",New York Times,"Feb 4, 2013",2013
1283831433,Clydesdale wins by a nose: † Sentimental story beats Tide at very last minute,"Horovitz, Bruce",USA TODAY,"Feb 4, 2013",2013
1283831212,"There's a light at the end of the tunnel for gay teens: † Bullying declines as they get older, especially for girls, British study finds","Healy, Michelle",USA TODAY,"Feb 4, 2013",2013
1284655972,Connecticut: † [Schedule],,New York Times,"Feb 3, 2013",2013
1283518896,Calendar: † [Schedule],,New York Times,"Feb 3, 2013",2013
1283518582,Sunday Dialogue: Treating the Mentally Ill: † [Letter],,New York Times,"Feb 3, 2013",2013
1283629950,"A 3-Term Mayor as Brash, Shrewd And Colorful as the City He Led: † [Obituary (Obit)]","McFADDEN, ROBERT D",New York Times,"Feb 2, 2013",2013
1283630000,Son's Suicide Leads to Aid For Students: † [Metropolitan Desk],"Zernike, Kate",New York Times,"Feb 2, 2013",2013
1283433454,REVIEW --- Books: She Rewrote the Rule Book,"Moorehead, Caroline",Wall Street Journal,"Feb 2, 2013",2013
1283310982,The Listings: † [Schedule],The New York Times11 The New York Times,New York Times,"Feb 1, 2013",2013
1283212621,Spare Times: For Children: † [Schedule],"Graeber, Laurel",New York Times,"Feb 1, 2013",2013
1283374595,10,"Horovitz, Bruce",USA TODAY,"Feb 1, 2013",2013
1283246067,These Workouts Offer A Chance to Really Pump It Up --- Exercising in High Heels Requires Solid Footing; 'They're Getting Taller',"Phillips, Erica E",Wall Street Journal,"Feb 1, 2013",2013
1282738855,"He Sings the Songs, And His Audience Does, Too: † [Review]","Holden, Stephen",New York Times,"Jan 31, 2013",2013
1283084213,Tough-guy Nilan bares all in 'Gladiators',"Allen, Kevin",USA TODAY,"Jan 31, 2013",2013
1282196601,Scouts Rethink A Ban on Gays In a Quick Shift: † [National Desk],"Johnson, Kirk",New York Times,"Jan 29, 2013",2013
1282193865,What's On Today: † [Schedule],"Shattuck, Kathryn",New York Times,"Jan 29, 2013",2013
1282224150,The Still-Clenched Fist in Moscow,"Kasparov, Garry",Wall Street Journal,"Jan 29, 2013",2013
1281986870,Italians Have a New Tool to Unearth Tax Cheats: † [Foreign Desk],"Povoledo, Elisabetta",New York Times,"Jan 28, 2013",2013
1281986829,What's On Today: † [Schedule],"Shattuck, Kathryn",New York Times,"Jan 28, 2013",2013
1281889527,Sunday Dialogue: Mayhem on Our Screens: † [Letter],,New York Times,"Jan 27, 2013",2013
1280446104,Even Big Stars Like to Be Juvenile: † [Review],"Holden, Stephen",New York Times,"Jan 26, 2013",2013
1282050356,The Listings: † [Schedule],,New York Times,"Jan 25, 2013",2013
1276010652,"HATERS LEAD A LES MIS' REBELLION: † Theaters full of fans have cried and clapped, but some critics were suffering -- or sleeping","Wloszczyna, Susan",USA TODAY,"Jan 25, 2013",2013
1272233849,"In East Haven, Hispanics Are Wary of Kinder Tone: † [Metropolitan Desk]","Yee, Vivian",New York Times,"Jan 24, 2013",2013
1272132959,When a Tough-Talking Governor Stops Talking: † [National Desk],"Seelye, Katharine Q",New York Times,"Jan 23, 2013",2013
1272133419,"Super Bowl Ads Will Be Heavy On Colas, Beers And Cars: † [Business/Financial Desk]","Elliott, Stuart",New York Times,"Jan 23, 2013",2013
1271818172,"Even if It Enrages Your Boss, Social Net Speech Is Protected: † [Business/Financial Desk]","Greenhouse, Steven",New York Times,"Jan 22, 2013",2013
1271818007,Marchers Urging Stricter Gun-Control Laws Take to the Brooklyn Bridge: † [Metropolitan Desk],Sarah Maslin Nir,New York Times,"Jan 22, 2013",2013
1271963961,Give Armstrong second chance?,,USA TODAY,"Jan 22, 2013",2013
1271571158,"Plods the Maven, Weak and Weary: † [Review]","Stanley, Alessandra",New York Times,"Jan 21, 2013",2013
1271058958,Smith and Boldin Give the Ravens Dynamic Bookends at Wide Receiver: † [Sports Desk],"Shpigel, Ben",New York Times,"Jan 20, 2013",2013
1270855680,"Mother Admits She Put Pistol in 7-Year-Old's Bag, Police Say: † [Metropolitan Desk]","Santora, Marc; Ruderman, Wendy",New York Times,"Jan 19, 2013",2013
1270853800,"After the Tears, Some Questions Remain Unanswered: † [News Analysis]","Macur, Juliet; Austen, Ian",New York Times,"Jan 19, 2013",2013
1270872835,WEEKEND INVESTOR --- The New Basics: This Week,Anonymous,Wall Street Journal,"Jan 19, 2013",2013
1270615845,Dean of the Senate Walks a Fine Line on Conflicts: † [News; Series],"Root, Jay",New York Times,"Jan 18, 2013",2013
1270616162,Dispassionate End to a Crumbled Romance: † [Sports Desk],"Stanley, Alessandra",New York Times,"Jan 18, 2013",2013
1270763907,The Listings: † [Schedule],The New York Times11 The New York Times,New York Times,"Jan 18, 2013",2013
1270781021,Can you forgive?: † America's about 2nd chances.,"Hampson, Rick",USA TODAY,"Jan 18, 2013",2013
1270781471,"Waiting for a new black president: † As Margaret Thatcher's legacy shows, barrier-shattering pioneers don't lead to quick seconds.","Blundell, John",USA TODAY,"Jan 18, 2013",2013
1270600534,A Tale Of Aspiration,"Main, Carla",Wall Street Journal,"Jan 18, 2013",2013
1269946054,Courtside Eavesdropping Does Not Flatter the Knicks: † [News Analysis],"Gervino, Tony",New York Times,"Jan 17, 2013",2013
1269606349,Sweeping Limits on Guns Become Law in New York: † [National Desk],"Kaplan, Thomas",New York Times,"Jan 16, 2013",2013
1269606332,Takes One To Tango: † [Op-Ed],"Dowd, Maureen",New York Times,"Jan 16, 2013",2013
1269730890,"IT'S OVER: † After a decade of denial, Armstrong is still looking out for No. 1: Lance. Which is why he deserves nothing but disdain.","Brennan, Christine",USA TODAY,"Jan 16, 2013",2013
1269600606,Cuomo Signs Gun Laws,"Nahmias, Laura",Wall Street Journal,"Jan 16, 2013",2013
1269210185,"Leaving Job to Raise Better Children, But Then Feeling the Financial Strain: † [Metropolitan Desk]","Gaffney, Thomas",New York Times,"Jan 15, 2013",2013
1269210177,When Parents Tease: † [Letter],,New York Times,"Jan 15, 2013",2013
1269508312,STATE-BY-STATE GUN LEGISLATION,,USA TODAY,"Jan 15, 2013",2013
1269412876,The Rise of the Accreditor as Big Man on Campus,"Brown, Hank",Wall Street Journal,"Jan 15, 2013",2013
1269075100,A Salute to Girl Power in Hollywood: † [The Arts/Cultural Desk],"Stanley, Alessandra",New York Times,"Jan 14, 2013",2013
1268865055,"A Soldier's Requiem, Never Fading Away: † [News; Series]","Dao, James",New York Times,"Jan 13, 2013",2013
1268865060,Democrats Behaving Badly: † [Op-Ed],"Bruni, Frank",New York Times,"Jan 13, 2013",2013
1268864991,A Pedophile in Plain Sight: † [Op-Ed],"Lewis, Eric L",New York Times,"Jan 13, 2013",2013
1269098747,Makers of Violent Video Games Marshal Support to Fend Off Regulation: † [National Desk],"Lichtblau, Eric",New York Times,"Jan 12, 2013",2013
1269099121,"For Golden Globes, It's a Good Time: † [The Arts/Cultural Desk]","Barnes, Brooks",New York Times,"Jan 12, 2013",2013
1269153222,The Listings: † [Schedule],,New York Times,"Jan 11, 2013",2013
1268737964,Calif. sheriff: Faculty disarms school shooter,,USA TODAY,"Jan 11, 2013",2013
1268632857,ARENA --- Television -- Review -- The Sheriff Wore Stripes: Tale of a Hood as Hero,"Rabinowitz, Dorothy",Wall Street Journal,"Jan 11, 2013",2013
1268010056,In Defense Of Hagel For Defense: † [Op-Ed],"Kristof, Nicholas D",New York Times,"Jan 10, 2013",2013
1268090038,"Arts & Entertainment -- Repertory Film: Party Time, Excellent","Dollar, Steve",Wall Street Journal,"Jan 10, 2013",2013
1267762884,How family values hurt: † Anti-gay efforts go beyond disagreement when they undermine fight on bullying,"Kluger, Bruce",USA TODAY,"Jan 9, 2013",2013
1266990146,The SEC Ponders Circumventing Citizens United,"Verret, J W",Wall Street Journal,"Jan 8, 2013",2013
1266557712,Westchester: † [Schedule],,New York Times,"Jan 6, 2013",2013
1266455926,The Heartbreak in Russia's Adoption Ban: † [Letter],,New York Times,"Jan 5, 2013",2013
1266458491,A New Era's Filmmakers Find Their Way in Cuba: † [The Arts/Cultural Desk],"Burnett, Victoria",New York Times,"Jan 5, 2013",2013
1266467923,"REVIEW --- In China's Cyberspace, Dissent Speaks Code --- Want to escape the censor's scrutiny? Call the regime a 'heavenly dynasty; ' Just don't get 'happiness-ified'","Xiao Qiang; Link, Perry",Wall Street Journal,"Jan 5, 2013",2013
1266381418,The Listings: † [Schedule],The New York Times11 The New York Times,New York Times,"Jan 4, 2013",2013
1266056985,"Man up, the Notre Dame way: † How to pursue victory despite taking big risks","Mattox, William",USA TODAY,"Jan 2, 2013",2013
1265991650,An Appreciation: Too True to Life,"Woodward, Richard B",Wall Street Journal,"Jan 2, 2013",2013
1265849490,A Hip-Hop Rant Comes With Epiphanies: † [Review],"Rampell, Catherine",New York Times,"Jan 1, 2013",2013
1265644081,"Childhood, Uncensored: † [Style Desk]",Catherine Saint Louis,New York Times,"Dec 30, 2012",2012
1264876373,Seeking the 'Why' Behind Horrific Acts: † [Letter],,New York Times,"Dec 29, 2012",2012
1255727603,"All the Fizz In a New Year Of Culture: † [Movies, Performing Arts/Weekend Desk]",The New York Times11 The New York Times,New York Times,"Dec 28, 2012",2012
1260992734,The Listings: † [Schedule],,New York Times,"Dec 28, 2012",2012
1258609876,Echoes of a champion ring true at notre dame: † This version of Fighting Irish similar to last champs in 1988,"Lopresti, Mike",USA TODAY,"Dec 27, 2012",2012
1243273609,"Charles Durning, Prolific Character Actor (From Nazi to Priest), Dies at 89: † [Obituary (Obit); Biography]","Berkvist, Robert",New York Times,"Dec 26, 2012",2012
1243013140,Lawless at Sea,Anonymous,Wall Street Journal,"Dec 24, 2012",2012
1242724286,There's Something About Stevie: † [Money and Business/Financial Desk],"Anderson, Jenny; Lattman, Peter; Creswell, Julie",New York Times,"Dec 23, 2012",2012
1242724230,Kansas Beats Ohio State in First Test on Road: † [Sports Desk],The Associated Press,New York Times,"Dec 23, 2012",2012
1242726775,Sunday Dialogue: Violence in America: † [Letter],,New York Times,"Dec 23, 2012",2012
1242724284,Many Hats of Chris Colfer: † [Style Desk],"Schulman, Michael",New York Times,"Dec 23, 2012",2012
1248133840,Support for Egypt's Muslim Brotherhood Erodes in an Islamist Bastion: † [Foreign Desk],"Kirkpatrick, David D",New York Times,"Dec 22, 2012",2012
1248134750,"Guns, Smoke and Mirrors: † [Op-Ed]","Blow, Charles M",New York Times,"Dec 22, 2012",2012
1242400126,The Weekend Interview with Tim Scott: Meet the New Senator From South Carolina,"Moore, Stephen",Wall Street Journal,"Dec 22, 2012",2012
1242400869,"Educators, Mayor Blast NRA's Plan","Fleisher, Lisa; Gardiner, Sean",Wall Street Journal,"Dec 22, 2012",2012
1242399887,"Corporate News: In Europe, Convictions Of Google Executives Overturned","Castonguay, Gilles",Wall Street Journal,"Dec 22, 2012",2012
1241906987,Playing Taxes Hold 'Em: † [Op-Ed],"Krugman, Paul",New York Times,"Dec 21, 2012",2012
1241920831,The Listings: † [Schedule],,New York Times,"Dec 21, 2012",2012
1240034924,School Officials Look Again at Security Measures Once Dismissed: † [Metropolitan Desk],"Rich, Motoko",New York Times,"Dec 19, 2012",2012
1240035052,Invitation to a Dialogue: Beyond Gun Control: † [Letter],,New York Times,"Dec 19, 2012",2012
1240562256,Classmate says Adam Lanza attended Sandy Hook school,"Stoller, Gary; Dorell, Oren",USA TODAY,"Dec 19, 2012",2012
1239440410,What Drives Suicidal Mass Killers: † [Op-Ed],"Lankford, Adam",New York Times,"Dec 18, 2012",2012
1239030804,Onetime Allies in Antitrust Part Ways Over Google: † [Business/Financial Desk],"Lohr, Steve",New York Times,"Dec 17, 2012",2012
1239030857,You Are All Soft! Embrace Chaos!: † [Review],"Kakutani, Michiko",New York Times,"Dec 17, 2012",2012
1239042396,"Arts & Entertainment -- Culture City: Rising-Star Playwright, Minus the Affectation","Catton, Pia",Wall Street Journal,"Dec 17, 2012",2012
1238823920,Some Tutors Are Shouldering A Wider Load: † [Style Desk],"Ellin, Abby",New York Times,"Dec 16, 2012",2012
1238422201,Authority Of Coaches Is Absolute No Longer: † [Sports Desk],"Rohan, Tim",New York Times,"Dec 15, 2012",2012
1238063033,A Mixed-Race Girl In a Mixed-Up World: † [Review],Manohla Dargis,New York Times,"Dec 14, 2012",2012
1238156530,The Listings: † [Schedule],The New York Times11 The New York Times,New York Times,"Dec 14, 2012",2012
1237416465,"A Son Comes Out, Needing More Than His Family: † [Review]","Karam, Stephen",New York Times,"Dec 13, 2012",2012
1236767382,Ill-Fated Gay Love and Hormonal Tempests on a School Stage: † [Review],"Rooney, David",New York Times,"Dec 12, 2012",2012
1236766150,The Dirty Work For the Clean: † [Review],"Hale, Mike",New York Times,"Dec 12, 2012",2012
1228348988,A Hunger for Tales of Life in the American Cul-de-Sac: † [Foreign Desk],"Barry, Ellen",New York Times,"Dec 11, 2012",2012
1228348533,The God Glut: † [Op-Ed],"Bruni, Frank",New York Times,"Dec 11, 2012",2012
1223788458,"For Journal, Leadership At Crossroads: † [Business/Financial Desk]","Carr, David",New York Times,"Dec 10, 2012",2012
1223626789,A Time to Turn Pages Instead of Corners: † [Automobiles],"McEWEN, CHARLES",New York Times,"Dec 9, 2012",2012
1223388099,"In Changing South Korea, Who Counts as 'Korean'?: † [Foreign Desk]",Choe Sang-Hun,New York Times,"Dec 7, 2012",2012
1223386621,The Alchemy Of Debris Forged Into Passion: † [Review],"Johnson, Ken",New York Times,"Dec 7, 2012",2012
1222159266,"Elisabeth Murdoch, 103, Matriarch of a Journalism Family: † [Obituary (Obit); Biography]","McFADDEN, ROBERT D",New York Times,"Dec 6, 2012",2012
1221780621,Careers: Tips on Acing Job Interviews -- for Managers,"Weber, Lauren",Wall Street Journal,"Dec 5, 2012",2012
1221243242,Futile fight on student tweets,"Paulson, Ken",USA TODAY,"Dec 3, 2012",2012
1221100405,Heard & Scene -- Soon to be Scene: Catching Up to Cheezburger's 'Class President',"Vilensky, Mike",Wall Street Journal,"Dec 3, 2012",2012
1221104033,"Deserving or Not, Rutgers Emerges as a Winner: † [News Analysis]","Araton, Harvey",New York Times,"Dec 1, 2012",2012
1220958688,Heard & Scene: Performers Step Up For Youths in Crisis,"Heyman, Marshall",Wall Street Journal,"Dec 1, 2012",2012
1220768216,Just Wait Till Your Father Gets Home: † [Review],"Kakutani, Michiko",New York Times,"Nov 30, 2012",2012
1220766584,Egypt Adds Islamic Influence to Constitution,"Dagher, Sam; Bradley, Matt",Wall Street Journal,"Nov 30, 2012",2012
1220305993,Top BBC Figures Acknowledge 'Errors' in Reporting Scandals: † [Foreign Desk],"Burns, John F; Cowell, Alan",New York Times,"Nov 28, 2012",2012
1205562148,"In Nature, Fatal Attractions Can Be Part of Life: † [Science Desk]","Chen, Ingfei",New York Times,"Nov 27, 2012",2012
1197458392,"For Private Security Guards in Kabul, Hazardous Duty, Low Pay and Little Choice: † [Foreign Desk]","Azam, Ahmed",New York Times,"Nov 26, 2012",2012
1197143098,Dancing Up a Storm but Dying to Rock: † [Arts and Leisure Desk],"Reynolds, Simon",New York Times,"Nov 25, 2012",2012
1197143852,"Once Ubiquitous on Campus, 'Paterno' Is No Longer Uttered: † [Sports Desk]","Pennington, Bill",New York Times,"Nov 25, 2012",2012
1197143345,My Celebrity Love Triangle: † [Op-Ed],"Nishball, Jeff",New York Times,"Nov 25, 2012",2012
1197143328,Reviews With 'All Guns Blazing': † [Op-Ed],"Sullivan, Margaret",New York Times,"Nov 25, 2012",2012
1197142849,"Cheryl Dellasega, Stephen Woodside: † [Society Desk]","Reyes, Nina",New York Times,"Nov 25, 2012",2012
1194233577,The Weekend Interview with Grover Norquist: Washington Enemy No. 1,"Moore, Stephen",Wall Street Journal,"Nov 24, 2012",2012
1193998855,REVIEW --- Books: When the Party's Over,"Malan, Rian",Wall Street Journal,"Nov 24, 2012",2012
1179128002,A Retiree Makes Plans To Outfox a Cloudy Future: † [Review],"Rooney, David",New York Times,"Nov 22, 2012",2012
1178993029,New Voices,"Donahue, Deirdre",USA TODAY,"Nov 21, 2012",2012
1178001550,Conservatives and the Politics of Marriage: Making the Same-Sex Case,"Mehlman, Ken",Wall Street Journal,"Nov 21, 2012",2012
1171299099,Dreams of a Big Haul From Santa Claus: † [Review],"Isherwood, Charles",New York Times,"Nov 20, 2012",2012
1173681532,TV ON THE WEB,,USA TODAY,"Nov 20, 2012",2012
1170163976,Ruling Soon On Isolation Of Inmates With H.I.V.: † [National Desk],"Brown, Robbie",New York Times,"Nov 19, 2012",2012
1170403956,Private School Goes All In With Tech,"Hollander, Sophia",Wall Street Journal,"Nov 19, 2012",2012
1163343249,A Musical Makes Changes As Closets Open: † [Arts and Leisure Desk],"Weinert-Kendt, Rob",New York Times,"Nov 18, 2012",2012
1163338558,Higher Learning And Higher Power: † [Letter][1],,New York Times,"Nov 18, 2012",2012
1163651678,A Model For Others: † [Correction],,New York Times,"Nov 18, 2012",2012
1152077039,The Calm Before The Kablooey: † [Review],Manohla Dargis,New York Times,"Nov 16, 2012",2012
1151682227,Home & Digital -- Cranky Consumer: Tailored Parenting Advice in the Comfort of Home,"Garone, Elizabeth",Wall Street Journal,"Nov 14, 2012",2012
1150983918,Voting Booth In the Hands Of Everyone: † [Business/Financial Desk],"Bilton, Nick",New York Times,"Nov 12, 2012",2012
1143920036,"For the New Class of Texas House Members, Learning on the Job: † [National Desk]","Ramsey, Ross",New York Times,"Nov 9, 2012",2012
1143920066,Monty Python's Life of Graham: † [Review],Manohla Dargis,New York Times,"Nov 9, 2012",2012
1143799862,ARENA --- Morgenstern on Film -- Review: 'Skyfall' Upgrades Bond to Triple-A,"Morgenstern, Joe",Wall Street Journal,"Nov 9, 2012",2012
1141537994,Slugger's Penalty Includes a Walk Through History: † [Sports Desk],"Pilon, Mary",New York Times,"Nov 8, 2012",2012
1143860778,"Northeast, South, Midwest, West: † [Politics][1]",The New York Times11 The New York Times,New York Times,"Nov 8, 2012",2012
1134377358,Embracing Children for Who They Are: † [Science Desk],"Brody, Jane E",New York Times,"Nov 6, 2012",2012
1125518433,"REVIEW --- Books -- Fiction Chronicle: No Lectures, Please","Sacks, Sam",Wall Street Journal,"Nov 3, 2012",2012
1125302938,"A Heavy Hitter With a Taste for Political Confrontation, and He's a Democrat: † [National Desk]","Aguilar, Juli¡N",New York Times,"Nov 2, 2012",2012
1125302574,Relentless Raccoons and Other Suburban Problems Money Can't Always Fix: † [Review],"Holden, Stephen",New York Times,"Nov 2, 2012",2012
1119945766,"Back in the Mix: New England Rum: † [Dining In, Dining Out / Style Desk]","Risen, Clay",New York Times,"Oct 31, 2012",2012
1125051094,'Possibilities are endless' for Lucasfilm: † But will Disney's power and culture be good for the 'Star Wars' series?,"della Cava, Marco R",USA TODAY,"Oct 31, 2012",2012
1115485035,"Storytelling Rappers, Cool and Hot: † [The Arts/Cultural Desk]","Caramanica, Jon",New York Times,"Oct 29, 2012",2012
1115568923,Millions come out for Make A Difference Day,"Mendelsohn, Jennifer; USA WEEKEND Magazine",USA TODAY,"Oct 29, 2012",2012
1115407952,When Crimes Feed Our Worst Fears: † [Metropolitan Desk],"Bellafante, Ginia",New York Times,"Oct 28, 2012",2012
1115407878,Teaching Lessons: † [Op-Ed],"Mosle, Sara",New York Times,"Oct 28, 2012",2012
1115333709,"Following in a Father's Footsteps, But Probably Not Into Politics: † [Politics]","Sheryl Gay Stolberg; Parker, Ashley",New York Times,"Oct 27, 2012",2012
1115333989,Races for House Offer Little Suspense but Lots of Odd Back Stories: † [Politics],"Weisman, Jonathan",New York Times,"Oct 27, 2012",2012
1115343317,"REVIEW --- Rise of the Tiger nation --- Asian-Americans are now the country's best-educated, highest-earning and fastest-growing racial group; They share with American Jews both the distinction and the occasional burden of immigrant success","Siegel, Lee",Wall Street Journal,"Oct 27, 2012",2012
1115092903,"On Staten Island, Relentless Bullying Is Blamed for a Teenage Girl's Suicide: † [Metropolitan Desk]","Yee, Vivian",New York Times,"Oct 26, 2012",2012
1115061000,Bully: † [Review],"Rothstein, Edward",New York Times,"Oct 26, 2012",2012
1114927101,"Libyan Forces Now Control Restive Town, Officials Say: † [Foreign Desk]","Fahim, Kareem",New York Times,"Oct 25, 2012",2012
1114926640,Politics Can Be a Dirty Business. And Then There Are House Races in Florida ...: † [Politics],"Alvarez, Lizette",New York Times,"Oct 25, 2012",2012
1114926850,Diapers for All: † [The Arts/Cultural Desk],,New York Times,"Oct 25, 2012",2012
1114695341,Campaign Tries to Help Defuse Bullying: † [Business/Financial Desk],"Olson, Elizabeth",New York Times,"Oct 24, 2012",2012
1223857468,Looking in the Fridge and Finding Some Poetry: † [Review][1],"Garner, Dwight",New York Times,"Oct 22, 2012",2012
1114316250,"Could psychopaths actually have some good qualities?: † Possibly, but empathy is not one of them","Jayson, Sharon",USA TODAY,"Oct 22, 2012",2012
1113970836,"Serving Needy Schools, Brothers and Sisters of the 21st Century: † [National Desk]","Freedman, Samuel G",New York Times,"Oct 20, 2012",2012
1112626826,Beyond School Cliques: † [Letter],,New York Times,"Oct 18, 2012",2012
1112617874,A Gossip Bad Boy Tries Being Nice: † [Style Desk],"Holson, Laura M",New York Times,"Oct 18, 2012",2012
1112643482,A Cultural Conversation / With Garth Brooks: Honor for the 'Average Guy',"Mazor, Barry",Wall Street Journal,"Oct 18, 2012",2012
1112324468,Financial Survival In a Time Of Fiscal Peril: † [Wealth],"Sullivan, Paul",New York Times,"Oct 17, 2012",2012
1112328535,Bullying: The Podium vs. at School,Anonymous,Wall Street Journal,"Oct 17, 2012",2012
1112133572,Can You Do Too Much to Prevent a Stroke?: † [Science Desk],"Brody, Jane E",New York Times,"Oct 16, 2012",2012
1111844162,Inside the Times: † [Summary],,New York Times,"Oct 15, 2012",2012
1111844168,"Seeing a Gay Agenda, a Christian Group Protests an Anti-Bullying Program: † [National Desk]","Severson, Kim",New York Times,"Oct 15, 2012",2012
1111844196,What's On Today: † [Schedule],"Shattuck, Kathryn",New York Times,"Oct 15, 2012",2012
1111717305,When Faith Meets Football In East Texas: † [National Desk],"Smith, Morgan",New York Times,"Oct 14, 2012",2012
1111723553,Female Stars Step Off The Scale: † [Arts and Leisure Desk],"Stanley, Alessandra",New York Times,"Oct 14, 2012",2012
1114786501,Romney's Go-To Economist: † [Money and Business/Financial Desk][1],"Segal, David",New York Times,"Oct 14, 2012",2012
1111695887,... Medical Schools Won't Tell You,Jonnelle Marte,Wall Street Journal,"Oct 14, 2012",2012
1104435541,The Weekend Interview with Zhang Weiying: China's Anti-Keynesian Insurgent,"Bhattacharya, Abheek",Wall Street Journal,"Oct 13, 2012",2012
1104219042,Declarations: Confusing Strength With Aggression,"Noonan, Peggy",Wall Street Journal,"Oct 13, 2012",2012
1112332355,"Corporate News: BBC Is Rocked by Sex-Abuse Accusations --- Knighted Television Host, Now Deceased, Comes Under Scrutiny for Alleged Child Molestation, Including on BBC Premises","Sonne, Paul",Wall Street Journal,"Oct 13, 2012",2012
1095768403,"Night of Withering Ripostes, Mostly Delivered by Biden: † [Politics]","Stanley, Alessandra",New York Times,"Oct 12, 2012",2012
1095768360,Oakland Files Suit Against U.S. to Prevent Closing of Marijuana Dispensary: † [National Desk],"Wollan, Malia",New York Times,"Oct 12, 2012",2012
1095795355,The Bully vs. the Wonk,Anonymous,Wall Street Journal,"Oct 12, 2012",2012
1095610937,Details of Doping Scheme Paint Armstrong as Leader: † [Sports Desk],"Macur, Juliet",New York Times,"Oct 11, 2012",2012
1095200820,Heard & Scene: Standing Up Against Bullying,"Heyman, Marshall",Wall Street Journal,"Oct 9, 2012",2012
1092322285,A Parting Glance at Ad Week 2012: † [Business/Financial Desk],"Elliott, Stuart; Vega, Tanzina",New York Times,"Oct 8, 2012",2012
1086550381,Helping a Child to Come Out: † [Style Desk],"Schwartz, John",New York Times,"Oct 7, 2012",2012
1086480885,REVIEW --- Autumn Books: From China With Love,"Wasserstrom, Jeffrey",Wall Street Journal,"Oct 6, 2012",2012
1095261065,Olivia Wilde strips down in 'Butter': † Her character is a 'hand grenade' in comedy film,"Freydkin, Donna",USA TODAY,"Oct 5, 2012",2012
1082105697,"Yes, I'm Fat, and You're A Bully, Anchor Declares: † [National Desk]","Preston, Jennifer",New York Times,"Oct 4, 2012",2012
1082125998,"U.S. News: Web Profiles Haunt Students --- Colleges Vet Applicants by Checking Online Personas; Bullying, Plagiarism Found","Belkin, Douglas; Porter, Caroline",Wall Street Journal,"Oct 4, 2012",2012
1081846644,Corporate News: Software Makers Feel Political Heat in D.C.,"Schatz, Amy",Wall Street Journal,"Oct 3, 2012",2012
1081573335,U.S. News: Bible Verses on Banners Kick Off Texas Conflict --- Atheists-Agnostics Group Takes On Cheerleaders Over Religious Football Signs,"Zimmerman, Ann",Wall Street Journal,"Oct 2, 2012",2012
1081215245,A Dickens Classic for the Ages: † [Review],"Sommers, Michael",New York Times,"Sep 30, 2012",2012
1081219911,The Myth of Male Decline: † [Op-Ed],"Coontz, Stephanie",New York Times,"Sep 30, 2012",2012
1081215676,The World We're Actually Living In: † [Op-Ed],"Friedman, Thomas L",New York Times,"Sep 30, 2012",2012
1081001033,"In Film and Union's Ads, Dueling Views of Teachers: † [Metropolitan Desk]","Yee, Vivian",New York Times,"Sep 29, 2012",2012
1080843854,John Silber Dies at 86; Led Boston University: † [Obituary (Obit); Biography],"McFADDEN, ROBERT D",New York Times,"Sep 28, 2012",2012
1080844160,What's On Today: † [Schedule],"Shattuck, Kathryn",New York Times,"Sep 28, 2012",2012
1081444415,Spare Times: For Children: † [Schedule],"Graeber, Laurel",New York Times,"Sep 28, 2012",2012
1080955095,"'Won't Back Down' loses fight to clich s, simplicity: † It has strong cast but glosses over a complex issue","Puig, Claudia",USA TODAY,"Sep 28, 2012",2012
1080581056,"A Tory, His Bike and an Ill-Chosen Insult: † [Foreign Desk]","Castle, Stephen",New York Times,"Sep 27, 2012",2012
1080596298,Not in Hogwarts Anymore,Meghan Cox Gurdon,Wall Street Journal,"Sep 27, 2012",2012
1073472916,"Training Afghan Allies, With Guard Firmly Up: † [Foreign Desk]","Rosenberg, Matthew",New York Times,"Sep 26, 2012",2012
1073455673,The Internet: Puppet Theater For a New Age: † [Metropolitan Desk],"Dwyer, Jim",New York Times,"Sep 26, 2012",2012
1080660791,"A rebellion over school lunches: † They're healthier, but students say they aren't filling","Hellmich, Nanci",USA TODAY,"Sep 26, 2012",2012
1058151795,"Smile and Be a Villain; Despair and Be One, Too: † [Arts and Leisure Desk]","Healy, Patrick",New York Times,"Sep 23, 2012",2012
1058277607,The Man Who Would Be Redstone: † [Money and Business/Financial Desk],"Chozick, Amy",New York Times,"Sep 23, 2012",2012
1058283645,"A New Inning, Late in the Game: † [Op-Ed]","Bruni, Frank",New York Times,"Sep 23, 2012",2012
1048970481,REVIEW --- Are We Really Getting Smarter? --- Americans' IQ scores have risen steadily over the past century; James R. Flynn examines why,"Flynn, James R",Wall Street Journal,"Sep 22, 2012",2012
1041291505,An Introvert Finds His Way Through Teenage Terrain: † [Review],Manohla Dargis,New York Times,"Sep 21, 2012",2012
